row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,
20190280077482,20190280077,1-14세트B(잇마플),(주)잇마플,즉석섭취식품,소스. 냉동양파. 냉동당근. 기타가공품. 오징어. 조림류. 땅콩. 냉동파. 콩기름(대두유). 소스. 건면. 양파. 소스. 양배추,
20190280077539,20190280077,1-14세트C(잇마플),(주)잇마플,즉석섭취식품,즉석섭취식품. 조림류. 기타가공품. 즉석섭취식품. 기타가공품. 천연향신료. 기타 농산가공품,
20190280077559,20190280077,1-15세트B(잇마플),(주)잇마플,즉석섭취식품,기타가공품. 절임식품. 어묵. 정제수. 닭가슴살. 냉동브로콜리. 냉동양파. 과.채가공품. 냉동당근. 소스. 부추. 콩기름(대두유). 카레. 설탕. 기타 농산가공품. 천연향신료,
20190280077540,20190280077,1-15세트c(잇마플),(주)잇마플,즉석섭취식품,정제수. 닭가슴살. 기타가공품. 절임식품. 어묵. 냉동브로콜리. 과.채가공품. 냉동양파. 냉동당근. 카레. 소스. 부추. 콩기름(대두유). 설탕. 기타 농산가공품. 천연향신료,
20190280077562,20190280077,1-16세트B(잇마플),(주)잇마플,즉석섭취식품,즉석섭취식품. 조림류. 조림류. 분쇄가공육제품. 양배추. 과.채가공품. 양파. 김치. 냉동파. 소스. 소스. 기타 농산가공품,
20190280077537,20190280077,1-16세트C(잇마플),(주)잇마플,즉석섭취식품,양파. 양배추. 분쇄가공육제품. 조림류. 즉석섭취식품. 돼지고기. 김치. 과.채가공품. 냉동파. 소스. 소스. 기타 농산가공품,
20190280077715,20190280077,1-17세트A(잇마플),(주)잇마플,즉석섭취식품,즉석섭취식품. 알가열제품. 양념육. 조림류. 절임식품. 양배추. 양파,
20190280077714,20190280077,1-17세트B(잇마플),(주)잇마플,즉석섭취식품,청경채잎. 즉석섭취식품. 조림류. 닭고기. 염장미역줄기. 소시지. 떡류. 당근. 양파. 양배추. 표고버섯. 소스. 소스. 소스. 천연향신료. 혼합간장. 기타 농산가공품. 참기름. 천연향신료,
20190280077713,20190280077,1-17세트C(잇마플),(주)잇마플,즉석섭취식품,떡류. 당근. 양파. 표고버섯. 소스. 소스. 소스. 기타 농산가공품. 소시지. 양배추. 조림류. 닭고기. 청경채잎,
20190280077707,20190280077,1-18세트B(잇마플),(주)잇마플,즉석섭취식품,알가열제품. 즉석섭취식품. 돼지고기. 새송이버섯. 양파. 홍피망. 청피망. 냉동당근. 냉동파. 소스. 토마토케첩. 소스. 소스. 기타 농산가공품. 천연향신료,
