row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,
2013034707683,20130347076,17종 혼합분말-G,(주)휴먼나이즈,기타가공품,닭가슴살분말. 자당지방산에스테르. 마테추출물분말. 알로에겔농축동결건조분말. 세븐베리농축분말. 아미노산혼합제제. 아프리카망고 종자추출물(IGOB131)(기능성원료인정제2015-14호). 사과추출물분말. 과일혼합농축액분말. 야채혼합농축분말. 생선콜라겐. 히알루론산혼합제제. 3종 혼합유산균. L-테아닌(고시형). 녹차농축. 수크랄로스,
2010044900849,20100449008,17종 혼합유산균 B,주식회사토비코바이오,기타가공품,유산균혼합분말. 식물성크림. 말토덱스트린혼합제제. 분말결정포도당,
2010044900850,20100449008,17종 혼합유산균 BL2,주식회사토비코바이오,기타가공품,분말결정포도당. 말토덱스트린혼합제제. 유산균혼합분말,
20070386464601,20070386464,17종 혼합유산균 엘에스(LS),(주)웰빙엘에스,기타가공품,Lactobacillus gasseri. Lactobacillus helveticus. Lactobacillus salivarius. Bifidobacterium bifidum. 전분가공품. 옥수수전분. Lactobacillus plantarum. Lactococcus lactis(고시형). Bifidobacterium animalis ssp. lactis(고시형). Lactobacillus rhamnosus. Lactobacillus casei. Bifidobacterium breve. Bifidobacterium longum. Lactobacillus fermentum. Lactobacillus reuteri. Streptococcus thermophilus. Lactobacillus acidophilus. Lactobacillus paracasei. Lactobacillus bulgaricus,
20100182300164,20100182300,17종곡물발효효소,(주)케이엠에프,효소식품,두류가공품. 곡류가공품. 효소식품. 효소식품. 곡류가공품. 곡류가공품. 두류가공품,
20100182300181,20100182300,17종곡물발효효소S,(주)케이엠에프,효소식품,두류가공품. 곡류가공품. 곡류가공품. 효소식품. 곡류가공품. 두류가공품,
19930606094952,19930606094,17종과일채소혼합분말,(주)다움,과.채가공품,과.채가공품류. 과.채가공품. 과.채가공품류. 과.채가공품류. 과.채가공품류. 과.채가공품. 과.채가공품. 과.채가공품류. 기타가공품. 기타가공품. 기타가공품. 기타가공품. 과.채가공품류. 과.채가공품. 과.채가공품. 과.채가공품. 과.채가공품,
20070435176234,20070435176,17종베타혼합유산균-2400,(주)메디오젠,기타가공품,유산균혼합분말,
20070435176133,20070435176,17종알파혼합유산균-50,(주)메디오젠,기타가공품,유산균혼합분말. 분말결정포도당. 덱스트린. 식물성크림혼합분말,
19930606094953,19930606094,17종유기농과일야채혼합분말,(주)다움,과.채가공품,시금치. 유자. 매실. 양배추. 호박. 브로콜리. 보리순. 영지버섯. 표고버섯. 미나리. 블루베리. 브로콜리잎. 당근청. 동결건조무청. 케일잎. 밀싹. 서양호박,
201703553432921,20170355343,17종유기농과일야채혼합분말,코뉴,음료베이스,콜라비농축액. 당시럽류. 과.채가공품,
2015054344118,20150543441,17종혼합분말,(주)웰츄럴바이오,즉석섭취식품,단호박. 당근분태. 양배추분태. 들깨가루. 쑥가루. 고구마분태. 참깨. 흑미. 땅콩가루. 사과. 시금치분태. 현미찹쌀. 흰콩. 멥쌀. 현미. 보리. 쌀보리,
20020415029792,20020415029,17종혼합분말,(주)엄마사랑,곡류가공품,쌀보리. 보리. 현미. 멥쌀. 흰콩. 현미찹쌀. 시금치. 사과. 땅콩. 흑미. 참깨. 고구마. 쑥. 들깨. 양배추. 당근. 단호박,
20070435176229,20070435176,17종혼합유산균배양건조물,(주)메디오젠,기타가공품,덱스트린. 유산균배양건조물,
20070435176258,20070435176,17종혼합유산균배양건조물-300,(주)메디오젠,기타가공품,덱스트린. 유산균배양건조물. Lactobacillus plantarum,
20010445002693,20010445002,17종혼합유산균분말m(엠),엠에스바이오텍(주),기타가공품,유산균혼합분말. 덱스트린,
20030473071321,20030473071,17차 레몬밤,건강한사람들 주식회사 2사업장,액상차,식물혼합추출액. 고형차. 비타민C(고시형). 식물혼합추출물. 식물혼합추출물. 곡류가공품. 탄산수소나트륨. 합성향료,
