row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,,,,,,
20090355105673,20090355105,#달콤초코,(주)더베이커리랩 제1공장,빵류,빵류. 딸기,,,,,,
20090355105680,20090355105,#딸기나무숲,(주)더베이커리랩 제1공장,빵류,딸기. 당류가공품. 물엿. 혼합제제. 우유. 리큐르. 콩기름(대두유). 가공버터. 정제수. 박력분. 설탕. 전란액. 유함유가공품. 식물성크림. 빵류. 베이킹파우더,,,,,,
20090355105670,20090355105,#딸기좋아,(주)더베이커리랩 제1공장,빵류,빵류. 딸기,,,,,,
20090355105672,20090355105,#딸기코,(주)더베이커리랩 제1공장,빵류,딸기. 빵류,,,,,,
200903551051180,20090355105,#딸기티라미수,(주)더베이커리랩 제1공장,빵류,가공유크림. 설탕. 전란액. 딸기. 자연치즈. 식물성크림. 자연치즈. 박력분. 자연치즈. 유함유가공품. 정제수. 콩기름(대두유). 가공버터. 당류가공품. 우유. 커피. 혼합제제. 당류가공품. 물엿. 젤라틴. 리큐르. 리큐르. 팽창제제. 혼합제제,,,,,,
20190350266108,20190350266,#루이비콩,정우푸드,기타가공품,정제소금. 과채가공품,,,,,,
200903551051171,20090355105,#마카롱트리,(주)더베이커리랩 제1공장,빵류,전란액. 유함유가공품. 설탕. 정제수. 박력분. 자연치즈. 준초콜릿. 우유. 가공버터. 과자. 과자. 과자. 식물성크림. 과자. 과자. 과자. 과자. 과자. 과자. 냉동덩굴월귤. 과자. 과자. 콩기름(대두유). 물엿. 혼합제제. 당류가공품. 당류가공품. 코코아매스. 초콜릿. 리큐르. 혼합제제. 혼합제제. 팽창제제,,,,,,
200903551051181,20090355105,#뷔슈드노엘,(주)더베이커리랩 제1공장,빵류,혼합제제. 전분가공품. 아몬드분말. 초콜릿. 코코아매스. 과자. 코코아분말. 물엿. 콩기름(대두유). 초콜릿. 과자. 박력분. 정제수. 준초콜릿. 팽창제제. 리큐르. 당류가공품. 전란액. 설탕. 식물성크림. 유함유가공품. 혼합제제,,,,,,
20090355105676,20090355105,#산타렐라,(주)더베이커리랩 제1공장,빵류,전란액. 식물성크림. 설탕. 박력분. 기타가공품. 코코아버터. 화이트초콜릿. 정제수. 과.채가공품. 당류가공품. 준초콜릿. 콩기름(대두유). 가공버터. 우유. 물엿. 웰가에스피. 당류가공품. 코코아매스. 초콜릿. 리큐르. 식품첨가물. 베이킹파우더. 이산화티타늄. 화이트초콜릿. 식품첨가물,,,,,,
20090355105675,20090355105,#쇼콜라스퀘어,(주)더베이커리랩 제1공장,빵류,빵류. 딸기. 당류가공품,,,,,,
20090355105674,20090355105,#스트로베리퀸,(주)더베이커리랩 제1공장,빵류,빵류. 딸기,,,,,,
20180379618232,20180379618,#예뻐요_석류콜라겐,(주)세종바이오팜,기타가공품,석류농축액. 기타가공품. 기타가공품. 레드비트분말. 구연산. 아스파탐. 비타민C. 황금혼합추출물. 히알루론산. 엘라스틴가수분해물,,,,,,
20090355105678,20090355105,#오즈토네이도,(주)더베이커리랩 제1공장,빵류,혼합제제. 팽창제제. 혼합제제. 혼합제제. 혼합제제. 혼합제제. 음료베이스. 당류가공품. 리큐르. 물엿. 혼합제제. 우유. 가공버터. 콩기름(대두유). 정제수. 과.채가공품. 설탕. 박력분. 전란액. 식물성크림,,,,,,
2017282108522,20172821085,#이태원,(주)미라클브루어리,맥주,염화칼슘. 호프펠렛. 맥아. 정제수,,,,,,
19550509001587,19550509001,#찍먹 맛간장 소스,매일식품주식회사,소스,정제수. 혼합간장. 발효식초. 설탕. 정제소금. 구연산. 주정. 효소처리스테비아. 고추엑기스. 마늘농축액. 레몬농축액. 비타민B1혼합제제. 매실농축액. 생강농축액. 파라옥시안식향산에틸,,,,,,
20090355105679,20090355105,#초코로쉐,(주)더베이커리랩 제1공장,빵류,박력분. 설탕. 전란액. 가공유크림. 초콜릿. 기타식물성유지. 혼합제제. 당류가공품. 혼합제제. 팽창제제. 젤라틴. 전지분유. 과자. 과자. 땅콩 또는 견과류가공품. 코코아분말. 밀크초콜릿. 가공버터. 정제수,,,,,,
20180189357301,20180189357,#커피샘드립백커피,프리,커피,커피분말,,,,,,
2013039105017,20130391050,#태백산 명이나물,달의토끼,기타 농산가공품,산마늘. 마늘간장소스,,,,,,
19950368109615,19950368109,#튜링지안그릴소시지,(주)세우아이앤씨,향신료조제품,올레오레진투메릭. 메이스오일. 육두구분말. 고수분말. 흰후추분말. 마조람분말. 캐러웨이분말. 소두구분말. 비타민 C. 생강가루. L-글루타민산나트륨. 흑후추가루. 말토덱스트린. 카다몬에멀전,,,,,,
200903551051182,20090355105,#트리몽블랑,(주)더베이커리랩 제1공장,빵류,혼합제제. 당류가공품. 치자황색소. 전분가공품. 리큐르. 아몬드분말. 혼합제제. 물엿. 코코아분말. 우유. 화이트초콜릿. 혼합제제. 가공버터. 팽창제제. 혼합제제. 식물성크림. 전란액. 유함유가공품. 설탕. 박력분. 정제수. 콩기름(대두유). 혼합제제. 당류가공품,,,,,,
20090355105677,20090355105,#트리팡팡,(주)더베이커리랩 제1공장,빵류,혼합제제. 당류가공품. 당류가공품. 당류가공품. 베이킹파우더. 식물성크림. 전란액. 유함유가공품. 설탕. 박력분. 정제수. 과.채가공품. 콩기름(대두유). 가공버터. 우유. 혼합제제. 웰가에스피. 리큐르. 물엿. 혼합제제,,,,,,
200304432174903,20030443217,#파스타 간장,프레시플러스 주식회사,기타장류,혼합간장. 물엿. 소스. 기타과당. 정제소금. 소스. 건어포. 소스. 소스. 양파농축액. 소스. 다시마엑기스. 무농축액. 기타가공품,,,,,,
20090355105671,20090355105,#핑크파티,(주)더베이커리랩 제1공장,빵류,빵류. 당류가공품,,,,,,
202103718861,20210371886,%아라비카 블랜딩,(주)퍼센트코리아,커피,커피원두,,,,,,
19900376064135,19900376064,'0'분도 현미 비상식량,성찬식품,곡류가공품,현미,,,,,,
19900376064134,19900376064,'0'분도 현미누룽지,성찬식품,곡류가공품,현미,,,,,,
20090275241168,20090275241,'the담백' 황태해장국,(주)엘티에프포유,즉석조리식품,정제수. 콩나물. 청양고추. 후추가루. 간마늘. 참기름. 정제소금. 백설탕. 복합조미식품. 기타조미료. 황태엑기스. 대파. 무. 황태채,,,,,,
2008062105113,20080621051,'깔' 좋은 여성 귤피차,금향다원,침출차,귤나무열매껍질,,,,,,
20170614111285,20170614111,'딱 좋아 프리미엄 타트체리 ',(주)엔트리,과.채주스,체리주스,,,,,,
20080449004268,20080449004,'바베큐양념-2,(주)금진식품,소스,흑후추가루. 물엿. 혼합간장. 흑설탕. 양파. 마늘. 대두기름. 고춧가루. 다시마엑기스. 액상카라멜. 대파. 알파옥수수전분. L-글루타민산나트륨. 생강. 시즈닝. 부스터메이트. 잔탄검. 지미베이스-NP. 올레오레진파프리카. 계피가루. 올레오레진캪시컴,,,,,,
2013049213710,20130492137,'발효의 약속' 일곱가지 곡물효소,웰빙팜,효소식품,흑미. 율무. 기장. 조. 현미. Aspergillus oryzae. 보리. 수수,,,,,,
201904773393178,20190477339,'얼린' 노니주스,건강한사람들 주식회사,과.채주스,노니주스,,,,,,
2013056400127,20130564001,'얼린' 생 수박주스,(주)우양 청송공장,과.채주스,수박주스,,,,,,
20110445292373,20110445292,'얼린' 생 수박주스,(주)흥국에프엔비,과.채주스,수박주스,,,,,,
201904773393175,20190477339,'얼린' 생 수박주스,건강한사람들 주식회사,과.채주스,수박주스,,,,,,
20190477339991,20190477339,'얼린' 에이비씨주스 사과&당근&비트,건강한사람들 주식회사,과.채주스,사과주스. 당근주스. 레드비트주스,,,,,,
